input_text,target_text
"Day: Sunday, Time: 15:00 - 18:00, Score: 82
Hourly: 01(67), 01(39), 02(39), 02(47), 03(75), 03(25), 04(34), 04(42), 05(53), 05(48), 06(66), 06(52), 07(75), 07(47), 08(72), 08(67), 09(72), 09(80), 10(70), 10(98), 11(88), 11(75), 12(77), 12(67), 13(81), 13(71), 14(83), 14(72), 15(86), 15(93), 16(81), 16(81), 17(71), 17(81), 17(80), 18(74), 18(83), 18(69), 19(69), 19(80), 19(80), 20(76), 20(73), 20(81), 21(62), 21(72), 21(73), 22(64), 22(67), 22(68), 23(62), 23(51), 23(60)
Daily Avg: 68.3, Peak: 15(93)","The 15:00 - 18:00 slot on Sunday delivers 82/100 engagement, reaching users during post-lunch browsing.
Traceback:
- Peak: 15:00 (93), +36% vs daily avg (68.3)
- vs Late Morning 09:00 - 12:00 (avg 80.5): +2% improvement
- vs Evening 18:00 - 21:00 (avg 76.1): +8% improvement
- vs Afternoon 12:00 - 15:00 (avg 75.2): +9% improvement"
"Day: Monday, Time: 12:00 - 15:00, Score: 80
Hourly: 01(55), 01(59), 01(42), 02(63), 02(57), 02(42), 03(29), 03(66), 03(48), 04(50), 04(43), 04(62), 05(51), 05(50), 05(70), 06(46), 06(67), 06(58), 07(58), 07(71), 07(54), 08(68), 08(53), 08(66), 09(78), 09(74), 09(65), 10(91), 10(69), 10(86), 11(83), 11(82), 11(69), 12(77), 12(85), 12(63), 13(85), 13(87), 13(75), 14(86), 14(72), 14(88), 15(84), 15(86), 15(70), 16(91), 16(76), 16(86), 17(65), 17(74), 17(82), 18(83), 18(63), 18(85), 19(66), 19(75), 19(80), 20(80), 20(77), 20(81), 20(77), 21(67), 21(69), 21(76), 21(81), 22(56), 22(71), 22(70), 22(65), 23(61), 23(62), 23(63), 23(60)
Daily Avg: 68.8, Peak: 14(88)","The 12:00 - 15:00 slot on Monday delivers 80/100 engagement, reaching users during midday content consumption.
Traceback:
- Peak: 14:00 (88), +28% vs daily avg (68.8)
- vs Late Afternoon 15:00 - 18:00 (avg 79.3): +1% improvement
- vs Late Morning 09:00 - 12:00 (avg 77.4): +3% improvement
- vs Evening 18:00 - 21:00 (avg 76.7): +4% improvement"
"Day: Tuesday, Time: 15:00 - 18:00, Score: 88
Hourly: 01(62), 01(45), 01(68), 01(60), 02(68), 02(69), 02(60), 02(56), 03(61), 03(67), 03(44), 03(34), 04(63), 04(58), 04(55), 04(56), 05(54), 05(57), 05(70), 05(64), 06(66), 06(52), 06(62), 06(71), 07(60), 07(63), 07(55), 07(59), 08(78), 08(76), 08(76), 08(71), 09(79), 09(84), 09(73), 09(71), 10(82), 10(80), 10(85), 10(81), 11(74), 11(86), 11(84), 11(82), 12(80), 12(69), 12(85), 12(82), 13(87), 13(86), 13(73), 13(89), 14(84), 14(77), 14(95), 14(93), 15(86), 15(91), 15(82), 15(94), 16(85), 16(92), 16(92), 16(94), 17(78), 17(91), 17(91), 17(81), 18(93), 18(88), 18(84), 18(67), 19(74), 19(86), 19(78), 19(70), 20(81), 20(71), 20(72), 20(83), 21(76), 21(79), 21(74), 21(64), 22(72), 22(77), 22(67), 22(63), 23(73), 23(69), 23(69), 23(72)
Daily Avg: 73.7, Peak: 15(94)","Tuesday late afternoon captures users during post-lunch browsing, with a commanding 88/100 engagement score.
Traceback:
- Peak: 15:00 (94), +28% vs daily avg (73.7)
- vs Afternoon 12:00 - 15:00 (avg 83.3): +6% improvement
- vs Late Morning 09:00 - 12:00 (avg 80.1): +10% improvement
- vs Evening 18:00 - 21:00 (avg 78.9): +12% improvement"
"Day: Wednesday, Time: 15:00 - 18:00, Score: 88
Hourly: 01(60), 01(72), 01(65), 01(63), 02(57), 02(62), 02(69), 02(67), 03(62), 03(55), 03(56), 03(49), 04(47), 04(65), 04(57), 04(42), 05(62), 05(58), 05(58), 05(56), 06(78), 06(62), 06(61), 06(69), 07(76), 07(76), 07(61), 07(77), 08(75), 08(74), 08(68), 08(63), 09(81), 09(90), 09(89), 09(82), 10(82), 10(85), 10(85), 10(80), 11(76), 11(75), 11(87), 11(83), 12(77), 12(77), 12(85), 12(81), 13(84), 13(91), 13(74), 13(92), 14(84), 14(97), 14(88), 14(79), 15(86), 15(85), 15(94), 15(92), 16(98), 16(82), 16(84), 16(92), 17(91), 17(77), 17(79), 17(91), 18(76), 18(88), 18(87), 18(72), 19(82), 19(67), 19(80), 19(74), 20(70), 20(69), 20(67), 20(79), 21(69), 21(82), 21(67), 21(61), 22(67), 22(80), 22(64), 22(69), 23(61), 23(66), 23(49), 23(77)
Daily Avg: 73.9, Peak: 16(98)","Wednesday's late afternoon window (15:00 - 18:00) shows strong performance with 88/100, capturing audiences during post-lunch browsing.
Traceback:
- Peak: 16:00 (98), +33% vs daily avg (73.9)
- vs Afternoon 12:00 - 15:00 (avg 84.1): +4% improvement
- vs Late Morning 09:00 - 12:00 (avg 82.9): +6% improvement
- vs Evening 18:00 - 21:00 (avg 75.9): +15% improvement"
"Day: Thursday, Time: 15:00 - 18:00, Score: 88
Hourly: 01(64), 01(59), 01(57), 01(52), 02(61), 02(41), 02(52), 02(52), 03(42), 03(49), 03(54), 03(54), 04(72), 04(51), 04(56), 04(80), 05(52), 05(50), 05(56), 05(67), 06(55), 06(59), 06(61), 06(63), 07(73), 07(72), 07(60), 07(68), 08(63), 08(86), 08(77), 08(70), 09(86), 09(65), 09(85), 09(64), 10(88), 10(74), 10(68), 10(87), 11(72), 11(70), 11(86), 11(94), 12(72), 12(84), 12(89), 12(71), 13(72), 13(76), 13(80), 13(86), 14(82), 14(100), 14(83), 14(79), 15(93), 15(85), 15(87), 15(94), 16(95), 16(89), 16(82), 16(81), 17(99), 17(76), 17(86), 17(85), 18(73), 18(86), 18(77), 18(65), 19(79), 19(81), 19(69), 19(88), 20(71), 20(78), 20(75), 20(70), 21(72), 21(76), 21(72), 21(66), 22(79), 22(72), 22(65), 22(65), 23(64), 23(64), 23(72), 23(71)
Daily Avg: 72.2, Peak: 17(99)","The 15:00 - 18:00 slot on Thursday delivers 88/100 engagement, reaching users during post-lunch browsing.
Traceback:
- Peak: 17:00 (99), +37% vs daily avg (72.2)
- vs Afternoon 12:00 - 15:00 (avg 81.2): +8% improvement
- vs Late Morning 09:00 - 12:00 (avg 78.2): +12% improvement
- vs Evening 18:00 - 21:00 (avg 76.0): +15% improvement"
"Day: Friday, Time: 15:00 - 18:00, Score: 88
Hourly: 01(71), 01(62), 01(64), 01(60), 02(53), 02(69), 02(75), 02(68), 03(57), 03(45), 03(74), 03(61), 04(44), 04(71), 04(58), 04(58), 05(73), 05(61), 05(51), 05(51), 06(66), 06(55), 06(44), 06(60), 07(61), 07(56), 07(62), 07(67), 08(75), 08(53), 08(70), 08(79), 09(68), 09(73), 09(64), 09(67), 10(83), 10(71), 10(77), 10(78), 11(82), 11(80), 11(92), 11(81), 12(74), 12(80), 12(83), 12(82), 13(86), 13(83), 13(84), 13(87), 14(83), 14(88), 14(88), 15(85), 15(88), 15(90), 16(85), 16(100), 16(85), 17(86), 17(88), 18(85), 18(76), 19(79), 19(80), 20(73), 20(76), 21(79), 21(82), 22(72), 22(75), 23(70), 23(72)
Daily Avg: 72.5, Peak: 16(100)","Friday's late afternoon window (15:00 - 18:00) shows strong performance with 88/100, capturing audiences during post-lunch browsing.
Traceback:
- Peak: 16:00 (100), +38% vs daily avg (72.5)
- vs Afternoon 12:00 - 15:00 (avg 83.5): +6% improvement
- vs Evening 18:00 - 21:00 (avg 78.2): +13% improvement
- vs Late Morning 09:00 - 12:00 (avg 76.3): +16% improvement"
"Day: Saturday, Time: 09:00 - 12:00, Score: 84
Hourly: 01(66), 01(60), 02(65), 02(57), 03(62), 03(70), 04(54), 04(62), 05(70), 05(60), 06(63), 06(60), 07(65), 07(60), 08(65), 08(73), 09(78), 09(80), 10(87), 10(84), 11(92), 11(86), 12(71), 12(81), 13(85), 13(82), 14(88), 14(87), 15(84), 15(81), 16(97), 16(65), 17(84), 17(76), 18(74), 18(78), 19(75), 19(69), 20(71), 20(72), 21(71), 21(71), 22(78), 22(60), 23(64), 23(68)
Daily Avg: 72.8, Peak: 11(92)","Saturday late morning captures users during pre-lunch browsing, with a commanding 84/100 engagement score.
Traceback:
- Peak: 11:00 (92), +26% vs daily avg (72.8)
- vs Afternoon 12:00 - 15:00 (avg 82.3): +3% improvement
- vs Late Afternoon 15:00 - 18:00 (avg 81.2): +4% improvement
- vs Evening 18:00 - 21:00 (avg 73.2): +15% improvement"
"Day: Monday, Time: 15:00 - 18:00, Score: 75
Hourly: 01(51), 01(49), 01(37), 02(26), 02(62), 02(51), 03(33), 03(39), 03(46), 04(54), 04(45), 04(73), 05(62), 05(77), 05(73), 06(56), 06(67), 06(71), 07(60), 07(53), 07(64), 08(55), 08(60), 08(55), 09(52), 09(70), 09(66), 10(78), 10(64), 10(56), 11(76), 11(86), 11(72), 12(74), 12(69), 12(73), 13(71), 13(78), 13(64), 14(66), 14(74), 14(72), 15(80), 15(74), 15(65), 16(67), 16(79), 16(74), 17(79), 17(69), 17(89), 18(84), 18(84), 18(70), 19(74), 19(65), 19(68), 20(74), 20(68), 20(69), 21(63), 21(62), 21(58), 22(57), 22(73), 22(65), 23(62), 23(54), 23(51)
Daily Avg: 64.6, Peak: 17(89)","The 15:00 - 18:00 slot on Monday delivers 75/100 engagement, reaching users during end-of-workday checks.
Traceback:
- Peak: 17:00 (89), +38% vs daily avg (64.6)
- vs Evening 18:00 - 21:00 (avg 72.9): +3% improvement
- vs Afternoon 12:00 - 15:00 (avg 71.2): +5% improvement
- vs Late Morning 09:00 - 12:00 (avg 68.9): +9% improvement"
"Day: Tuesday, Time: 15:00 - 18:00, Score: 80
Hourly: 01(54), 01(52), 01(53), 02(43), 02(75), 02(41), 03(56), 03(54), 03(46), 04(57), 04(47), 04(66), 05(77), 05(75), 05(74), 06(61), 06(61), 06(73), 07(57), 07(72), 07(67), 08(62), 08(62), 08(78), 09(71), 09(73), 09(61), 09(66), 10(65), 10(86), 10(77), 10(76), 11(75), 11(79), 11(74), 11(70), 12(72), 12(71), 12(74), 12(78), 13(87), 13(80), 13(87), 13(71), 14(70), 14(73), 14(80), 14(84), 15(80), 15(91), 15(75), 15(73), 16(90), 16(75), 16(83), 16(67), 17(82), 17(77), 17(78), 17(86), 18(79), 18(70), 18(93), 18(67), 19(67), 19(81), 19(71), 19(81), 20(70), 20(64), 20(79), 20(78), 21(80), 21(58), 21(67), 21(73), 22(65), 22(69), 22(69), 22(58), 23(59), 23(58), 23(60), 23(66)
Daily Avg: 70.3, Peak: 15(91)","Tuesday late afternoon captures users during end-of-workday checks, with a commanding 80/100 engagement score.
Traceback:
- Peak: 15:00 (91), +29% vs daily avg (70.3)
- vs Afternoon 12:00 - 15:00 (avg 77.2): +3% improvement
- vs Evening 18:00 - 21:00 (avg 75.0): +6% improvement
- vs Late Morning 09:00 - 12:00 (avg 72.8): +10% improvement"
"Day: Wednesday, Time: 15:00 - 18:00, Score: 80
Hourly: 01(68), 01(57), 01(49), 01(57), 02(75), 02(51), 02(65), 02(49), 03(31), 03(62), 03(45), 03(45), 04(53), 04(44), 04(75), 04(61), 05(71), 05(74), 05(53), 05(75), 06(62), 06(78), 06(80), 06(63), 07(40), 07(71), 07(69), 07(72), 08(50), 08(63), 08(65), 08(73), 09(67), 09(75), 09(93), 09(67), 10(56), 10(81), 10(75), 10(90), 11(80), 11(81), 11(71), 11(63), 12(72), 12(70), 12(68), 12(86), 13(89), 13(61), 13(78), 13(73), 14(86), 14(65), 14(80), 14(78), 15(68), 15(89), 15(76), 15(75), 16(84), 16(88), 16(84), 16(82), 17(75), 17(88), 17(76), 17(76), 18(76), 18(65), 18(83), 18(82), 19(75), 19(78), 19(96), 19(83), 20(58), 20(77), 20(67), 20(77), 21(61), 21(69), 21(72), 21(73), 22(56), 22(63), 22(73), 22(69), 23(56), 23(63), 23(44), 23(59)
Daily Avg: 69.4, Peak: 15(89)","Wednesday late afternoon captures users during afternoon break scrolling, with a commanding 80/100 engagement score.
Traceback:
- Peak: 15:00 (89), +28% vs daily avg (69.4)
- vs Evening 18:00 - 21:00 (avg 76.4): +5% improvement
- vs Afternoon 12:00 - 15:00 (avg 75.5): +6% improvement
- vs Late Morning 09:00 - 12:00 (avg 74.9): +7% improvement"
