student_input,prompt_for_gemini
"Day: Monday, Time: 12:00 - 13:00, Score: 76, Dominance: Unrivaled, Shape: Sustained Plateau, Style: Advisory (Consultative, Helpful)","Data Context:
- Day: Monday
- Time: 12:00 - 13:00 (Lunch Break)
- Score: 76/100 (Runner-up: 50)
- Pattern: Unrivaled dominance with Sustained Plateau behavior
- User Behavior: high engagement during midday rest

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Advisory (Consultative, Helpful)
Keep it under 40 words and be specific about the data patterns."
"Day: Thursday, Time: 22:00 - 00:00, Score: 97, Dominance: Tight Race, Shape: Sustained Plateau, Style: Strategic (Focus on ROI & Growth)","Data Context:
- Day: Thursday
- Time: 22:00 - 00:00 (Late Night)
- Score: 97/100 (Runner-up: 88)
- Pattern: Tight Race dominance with Sustained Plateau behavior
- User Behavior: night owls scrolling before sleep

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Strategic (Focus on ROI & Growth)
Keep it under 40 words and be specific about the data patterns."
"Day: Saturday, Time: 19:00 - 22:00, Score: 78, Dominance: Unrivaled, Shape: Sharp Spike, Style: Storytelling (Narrative flow)","Data Context:
- Day: Saturday
- Time: 19:00 - 22:00 (Prime Time)
- Score: 78/100 (Runner-up: 49)
- Pattern: Unrivaled dominance with Sharp Spike behavior
- User Behavior: peak leisure time after dinner

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Storytelling (Narrative flow)
Keep it under 40 words and be specific about the data patterns."
"Day: Tuesday, Time: 22:00 - 00:00, Score: 73, Dominance: Unrivaled, Shape: Sustained Plateau, Style: Strategic (Focus on ROI & Growth)","Data Context:
- Day: Tuesday
- Time: 22:00 - 00:00 (Late Night)
- Score: 73/100 (Runner-up: 40)
- Pattern: Unrivaled dominance with Sustained Plateau behavior
- User Behavior: night owls scrolling before sleep

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Strategic (Focus on ROI & Growth)
Keep it under 40 words and be specific about the data patterns."
"Day: Thursday, Time: 22:00 - 00:00, Score: 71, Dominance: Unrivaled, Shape: Sharp Spike, Style: Detailed (Deep dive analysis)","Data Context:
- Day: Thursday
- Time: 22:00 - 00:00 (Late Night)
- Score: 71/100 (Runner-up: 47)
- Pattern: Unrivaled dominance with Sharp Spike behavior
- User Behavior: night owls scrolling before sleep

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Detailed (Deep dive analysis)
Keep it under 40 words and be specific about the data patterns."
"Day: Thursday, Time: 17:00 - 19:00, Score: 86, Dominance: Clear Lead, Shape: Sustained Plateau, Style: Storytelling (Narrative flow)","Data Context:
- Day: Thursday
- Time: 17:00 - 19:00 (Commute Hours)
- Score: 86/100 (Runner-up: 75)
- Pattern: Clear Lead dominance with Sustained Plateau behavior
- User Behavior: audiences active during transit

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Storytelling (Narrative flow)
Keep it under 40 words and be specific about the data patterns."
"Day: Sunday, Time: 09:00 - 12:00, Score: 71, Dominance: Clear Lead, Shape: Sustained Plateau, Style: Urgent (Creating FOMO/Action)","Data Context:
- Day: Sunday
- Time: 09:00 - 12:00 (Mid-Morning)
- Score: 71/100 (Runner-up: 54)
- Pattern: Clear Lead dominance with Sustained Plateau behavior
- User Behavior: professionals active during work breaks

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Urgent (Creating FOMO/Action)
Keep it under 40 words and be specific about the data patterns."
"Day: Saturday, Time: 12:00 - 13:00, Score: 86, Dominance: Clear Lead, Shape: Sustained Plateau, Style: Enthusiastic (High energy, Marketing tone)","Data Context:
- Day: Saturday
- Time: 12:00 - 13:00 (Lunch Break)
- Score: 86/100 (Runner-up: 74)
- Pattern: Clear Lead dominance with Sustained Plateau behavior
- User Behavior: high engagement during midday rest

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Enthusiastic (High energy, Marketing tone)
Keep it under 40 words and be specific about the data patterns."
"Day: Friday, Time: 06:00 - 09:00, Score: 87, Dominance: Unrivaled, Shape: Sharp Spike, Style: Storytelling (Narrative flow)","Data Context:
- Day: Friday
- Time: 06:00 - 09:00 (Morning Rush)
- Score: 87/100 (Runner-up: 42)
- Pattern: Unrivaled dominance with Sharp Spike behavior
- User Behavior: users checking phones before work

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Storytelling (Narrative flow)
Keep it under 40 words and be specific about the data patterns."
"Day: Tuesday, Time: 17:00 - 19:00, Score: 93, Dominance: Unrivaled, Shape: Sustained Plateau, Style: Enthusiastic (High energy, Marketing tone)","Data Context:
- Day: Tuesday
- Time: 17:00 - 19:00 (Commute Hours)
- Score: 93/100 (Runner-up: 45)
- Pattern: Unrivaled dominance with Sustained Plateau behavior
- User Behavior: audiences active during transit

Task: Write a 1-2 sentence reason WHY this is the best time to post, based on the data signals above.
Required Style: Enthusiastic (High energy, Marketing tone)
Keep it under 40 words and be specific about the data patterns."
